ID,Gen,Name,Type,AC (MD?),AC,PW,PP,PR,Charge,Recoil,Source,Resistance,Description,TODO Check Description Difference,Target,Effect Chance
12,1,Guillotine,Normal,50,30,,5,0,0,0,Attack,Defense,"A vicious, tearing attack with big pincers. The target faints instantly if it hits.",A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,"One other Pokémon on the field, selected by the trainer.",TODO
13,1,Razor Wind,Normal,100,100,80,10,0,0,0,S. Attack,S. Defense,A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.,In this two-turn attack blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.,All opposing Pokémon.,TODO
14,1,Swords Dance,Normal,-1,,,20,0,0,0,None,None,A frenetic dance to uplift the fighting spirit. This sharply raises the Attack stat.,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.,The user.,TODO
15,1,Cut,Normal,90,95,50,30,0,0,0,Attack,Defense,The target is cut with a scythe or claw.,The target is cut with a scythe or claw.,"One other Pokémon on the field, selected by the trainer.",TODO
16,1,Gust,Flying,100,100,40,35,0,0,0,S. Attack,S. Defense,A gust of wind is whipped up by wings and launched at the target to inflict damage.,A gust of wind is whipped up by wings and launched at the target to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
17,1,Wing Attack,Flying,100,100,60,35,0,0,0,Attack,Defense,"The target is struck with large, imposing wings spread wide to inflict damage.",The target is struck with large imposing wings spread wide to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
18,1,Whirlwind,Normal,100,,,20,-6,0,0,None,None,The user generates a powerful wind that blows away other Pokémon.,The target is blown away and a different Pokémon is dragged out. In the wild this ends a battle against a single Pokémon.,"One other Pokémon on the field, selected by the trainer.",TODO
19,1,Fly,Flying,90,95,90,15,0,0,0,Attack,Defense,The user soars and then strikes its target any time in the next 5 turns.,The user soars and then strikes its target on the next turn.,"One other Pokémon on the field, selected by the trainer.",TODO
20,1,Bind,Normal,70,85,15,20,0,0,0,Attack,Defense,Things such as long bodies or tentacles are used to bind and squeeze the target for three turns.,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.,"One other Pokémon on the field, selected by the trainer.",100
21,1,Slam,Normal,80,75,80,20,0,0,0,Attack,Defense,"The target is slammed with a long tail, vines, or the like to inflict damage.",The target is slammed with a long tail vines or the like to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
22,1,Vine Whip,Grass,100,100,45,25,0,0,0,Attack,Defense,"The target is struck with slender, whiplike vines to inflict damage.",The target is struck with slender whiplike vines to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
23,1,Stomp,Normal,100,100,65,20,0,0,0,Attack,Defense,The target is stomped with a big foot. This may also make the target flinch.,The target is stomped with a big foot. This may also make the target flinch.,"One other Pokémon on the field, selected by the trainer.",30
24,1,Double Kick,Fighting,75,100,30,30,0,0,0,Attack,Defense,The target is quickly kicked twice in succession using both feet.,The target is quickly kicked twice in succession using both feet.,"One other Pokémon on the field, selected by the trainer.",TODO
25,1,Mega Kick,Normal,70,75,120,5,0,0,0,Attack,Defense,The target is attacked by a kick launched with muscle-packed power.,The target is attacked by a kick launched with muscle-packed power.,"One other Pokémon on the field, selected by the trainer.",TODO
26,1,Jump Kick,Fighting,85,95,100,10,0,0,0,Attack,Defense,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.",The user jumps up high then strikes with a kick. If the kick misses the user hurts itself.,"One other Pokémon on the field, selected by the trainer.",TODO
27,1,Rolling Kick,Fighting,75,85,60,15,0,0,0,Attack,Defense,"The user lashes out with a quick, spinning kick. This may also make the target flinch.",The user lashes out with a quick spinning kick. This may also make the target flinch.,"One other Pokémon on the field, selected by the trainer.",30
28,1,Sand Attack,Ground,100,100,,15,0,0,0,None,None,"Sand is hurled in the target's face, reducing the target's Accuracy.",Sand is hurled in the target’s face reducing the target’s accuracy.,"One other Pokémon on the field, selected by the trainer.",TODO
29,1,Headbutt,Normal,100,100,70,15,0,0,0,Attack,Defense,The user sticks out its head and attacks by charging straight into the target. This has a 30% to make the target flinch.,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,"One other Pokémon on the field, selected by the trainer.",30
30,1,Horn Attack,Normal,85,100,65,25,0,0,0,Attack,Defense,The target is jabbed with a sharply pointed horn to inflict damage. Critical hits land more easily.,The target is jabbed with a sharply pointed horn to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
31,1,Fury Attack,Normal,80,85,15,20,0,0,0,Attack,Defense,The target is jabbed repeatedly with a horn or beak five times in a row.,The target is jabbed repeatedly with a horn or beak two to five times in a row.,"One other Pokémon on the field, selected by the trainer.",TODO
32,1,Horn Drill,Normal,50,30,,5,0,0,0,Attack,Defense,The user stabs the target with a horn that rotates like a drill. The target faints instantly if it hits. Fails if the target is a higher level.,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,"One other Pokémon on the field, selected by the trainer.",TODO
33,1,Tackle,Normal,100,100,40,35,0,0,0,Attack,Defense,A physical attack in which the user charges and slams into the target with its whole body.,A physical attack in which the user charges and slams into the target with its whole body.,"One other Pokémon on the field, selected by the trainer.",TODO
34,1,Body Slam,Normal,100,100,85,15,0,0,0,Attack,Defense,The user drops onto the target with its full body weight. This may also leave the target with paralysis.,The user drops onto the target with its full body weight. This may also leave the target with paralysis.,"One other Pokémon on the field, selected by the trainer.",30
35,1,Wrap,Normal,85,90,15,20,0,0,0,Attack,Defense,A long body or vines are used to wrap and squeeze the target for three turns.,A long body vines or the like are used to wrap and  squeeze the target for four to five turns.,"One other Pokémon on the field, selected by the trainer.",100
36,1,Take Down,Normal,80,85,90,20,0,0,0,Attack,Defense,"A reckless, full-body charge attack for slamming into the target. This also damages the user a little.",A reckless full-body charge attack for slamming into the target. This also damages the user a little.,"One other Pokémon on the field, selected by the trainer.",TODO
37,1,Thrash,Normal,100,100,120,10,0,0,0,Attack,Defense,The user rampages and attacks for three turns. The user then becomes confused.,The user rampages and attacks for two to three turns. The user then becomes confused.,"One opposing Pokémon, selected at random.",TODO
38,1,Double Edge,Normal,100,100,120,15,0,0,0,Attack,Defense,"A reckless, life-risking tackle. This also gives the user 33% recoil damage.",A reckless life-risking tackle. This also damages the user quite a lot.,"One other Pokémon on the field, selected by the trainer.",TODO
39,1,Tail Whip,Normal,100,100,,30,0,0,0,None,None,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat.",The user wags its tail cutely making opposing Pokémon less wary and lowering their Defense stat.,All opposing Pokémon.,TODO
40,1,Poison Sting,Poison,100,100,15,35,0,0,0,Attack,Defense,The user stabs the target with a poisonous stinger. This may also poison the target.,The user stabs the target with a poisonous stinger. This may also poison the target.,"One other Pokémon on the field, selected by the trainer.",30
41,1,Twineedle,Bug,100,100,25,20,0,0,0,Attack,Defense,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.,"One other Pokémon on the field, selected by the trainer.",20
42,1,Pin Missile,Bug,50,95,25,20,0,0,0,Attack,Defense,Sharp spikes are shot at the target in rapid succession. They hit four times in a row.,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.,"One other Pokémon on the field, selected by the trainer.",TODO
43,1,Leer,Normal,100,100,,30,0,0,0,None,None,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.,All opposing Pokémon.,100
44,1,Bite,Dark,100,100,60,25,0,0,0,Attack,Defense,The target is bitten with viciously sharp fangs. This has a 30% chance to make the target flinch.,The target is bitten with viciously sharp fangs. This may also make the target flinch.,"One other Pokémon on the field, selected by the trainer.",30
45,1,Growl,Normal,100,100,,40,0,0,0,None,None,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.",The user growls in an endearing way making opposing Pokémon less wary. This lowers their Attack stat.,All opposing Pokémon.,TODO
46,1,Roar,Normal,100,,,20,-6,0,0,None,None,The user makes a terrifying roar that blows back opposing Pokémon.,The target is scared off and a different Pokémon is dragged out. In the wild this ends a battle against a single Pokémon.,"One other Pokémon on the field, selected by the trainer.",TODO
47,1,Sing,Normal,85,55,,15,0,0,0,None,None,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.,"One other Pokémon on the field, selected by the trainer.",TODO
48,1,Supersonic,Normal,50,55,,20,0,0,0,None,None,The user generates odd sound waves from its body that confuse the target.,The user generates odd sound waves from its body that confuse the target.,"One other Pokémon on the field, selected by the trainer.",TODO
49,1,Sonic Boom,Normal,100,90,,20,0,0,0,S. Attack,S. Defense,The target is hit with a destructive shock wave that always inflicts 1/4 of the target's max HP.,The target is hit with a destructive shock wave that always inflicts 20 HP damage.,"One other Pokémon on the field, selected by the trainer.",TODO
50,1,Disable,Normal,100,100,,20,0,0,0,None,None,This move prevents the target from using the move it last used.,For four turns this move prevents the target from using the move it last used.,"One other Pokémon on the field, selected by the trainer.",TODO
51,1,Acid,Poison,100,100,40,30,0,0,0,S. Attack,S. Defense,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.,All opposing Pokémon.,10
52,1,Ember,Fire,100,100,40,25,0,0,0,S. Attack,S. Defense,The target is attacked with small flames. This may also leave the target with a burn.,The target is attacked with small flames. This may also leave the target with a burn.,"One other Pokémon on the field, selected by the trainer.",10
53,1,Flamethrower,Fire,100,100,90,15,0,0,0,S. Attack,S. Defense,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,"One other Pokémon on the field, selected by the trainer.",10
54,1,Mist,Ice,-1,,,30,0,0,0,None,None,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for ten turns.,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,The user's side of the field.  Affects the user and its ally (if any).,TODO
55,1,Water Gun,Water,100,100,40,25,0,0,0,S. Attack,S. Defense,The target is blasted with a forceful shot of water.,The target is blasted with a forceful shot of water.,"One other Pokémon on the field, selected by the trainer.",TODO
56,1,Hydro Pump,Water,75,80,110,5,0,0,0,S. Attack,S. Defense,The target is blasted by a huge volume of water launched under great pressure.,The target is blasted by a huge volume of water launched under great pressure.,"One other Pokémon on the field, selected by the trainer.",TODO
57,1,Surf,Water,100,100,90,15,0,0,0,S. Attack,S. Defense,The user attacks everything around it by swamping its surroundings with a giant wave. Diving foes are hit with double damage.,The user attacks everything around it by swamping its surroundings with a giant wave.,Every other Pokémon on the field.,TODO
58,1,Ice Beam,Ice,100,100,90,10,0,0,0,S. Attack,S. Defense,The target is struck with an icy-cold beam of energy. This has a 10% chance to leave the target frozen.,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,"One other Pokémon on the field, selected by the trainer.",10
59,1,Blizzard,Ice,70,70,110,5,0,0,0,S. Attack,S. Defense,A howling blizzard is summoned to strike opposing Pokémon. This has a 10% chance to leave the opposing Pokémon frozen. It never misses in Hail.,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,All opposing Pokémon.,10
60,1,Psybeam,Psychic,100,100,65,20,0,0,0,S. Attack,S. Defense,The target is attacked with a peculiar ray. This may also leave the target confused.,The target is attacked with a peculiar ray. This may also leave the target confused.,"One other Pokémon on the field, selected by the trainer.",10
61,1,Bubble Beam,Water,100,100,65,20,0,0,0,S. Attack,S. Defense,A spray of bubbles is forcefully ejected at the target. This may also lower its Movement Speed.,A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.,"One other Pokémon on the field, selected by the trainer.",10
62,1,Aurora Beam,Ice,100,100,65,20,0,0,0,S. Attack,S. Defense,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.,"One other Pokémon on the field, selected by the trainer.",10
63,1,Hyper Beam,Normal,90,90,150,5,0,0,1,S. Attack,S. Defense,The user attacks with a destructive beam. The user can't move on the next three turns.,The target is attacked with a powerful beam. The user can’t move on the next turn.,"One other Pokémon on the field, selected by the trainer.",TODO
64,1,Peck,Flying,100,100,35,35,0,0,0,Attack,Defense,The target is jabbed with a sharply pointed beak or horn.,The target is jabbed with a sharply pointed beak or horn.,"One other Pokémon on the field, selected by the trainer.",TODO
65,1,Drill Peck,Flying,100,100,80,20,0,0,0,Attack,Defense,A corkscrewing attack with a sharp beak acting as a drill.,A corkscrewing attack with a sharp beak acting as a drill.,"One other Pokémon on the field, selected by the trainer.",TODO
66,1,Submission,Fighting,75,80,80,20,0,0,0,Attack,Defense,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,"One other Pokémon on the field, selected by the trainer.",TODO
67,1,Low Kick,Fighting,100,100,,20,0,0,0,Attack,Weight,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power.",A powerful low kick that makes the target fall over. The heavier the target the greater the move’s power.,"One other Pokémon on the field, selected by the trainer.",TODO
68,1,Counter,Fighting,-1,100,,20,-5,0,0,Attack,Defense,"A retaliation move that counters any physical attack, inflicting double the damage taken.",A retaliation move that counters any physical attack inflicting double the damage taken.,One specific move.  How this move is chosen depends upon on the move being used.,TODO
69,1,Seismic Toss,Fighting,100,100,,20,0,0,0,Attack,Defense,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.,The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.,"One other Pokémon on the field, selected by the trainer.",TODO
70,1,Strength,Normal,100,100,80,15,0,0,0,Attack,Defense,"The target is slugged with a punch thrown at maximum power, pushing them back.",The target is slugged with a punch thrown at maximum power.,"One other Pokémon on the field, selected by the trainer.",TODO
71,1,Absorb,Grass,100,100,20,25,0,0,0,S. Attack,S. Defense,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,"One other Pokémon on the field, selected by the trainer.",TODO
72,1,Mega Drain,Grass,100,100,40,15,0,0,0,S. Attack,S. Defense,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.,"One other Pokémon on the field, selected by the trainer.",TODO
73,1,Leech Seed,Grass,85,90,,10,0,0,0,None,None,A seed is planted on the target. It steals some HP from the target every turn.,A seed is planted on the target. It steals some HP from the target every turn.,"One other Pokémon on the field, selected by the trainer.",TODO
74,1,Growth,Normal,-1,,,20,0,0,0,None,None,"The user's body grows all at once, raising the Attack and Sp. Atk stats. The effect is doubled under Sunny Day.",The user’s body grows all at once raising the Attack and Sp. Atk stats.,The user.,TODO
75,1,Razor Leaf,Grass,100,95,55,25,0,0,0,Attack,Defense,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.,All opposing Pokémon.,TODO
76,1,Solar Beam,Grass,100,100,120,10,0,1,0,S. Attack,S. Defense,"A two-turn attack. The user gathers light, then blasts a bundled beam on the next turn. In sunlight, the charge is skipped and it never misses.",In this two-turn attack the user gathers light then blasts a bundled beam on the next turn.,"One other Pokémon on the field, selected by the trainer.",TODO
77,1,Poison Powder,Poison,50,75,,35,0,0,0,None,None,The user scatters a cloud of poisonous dust that poisons the target.,The user scatters a cloud of poisonous dust that poisons the target.,"One other Pokémon on the field, selected by the trainer.",TODO
78,1,Stun Spore,Grass,50,75,,30,0,0,0,None,None,The user scatters a cloud of numbing powder that paralyzes the target.,The user scatters a cloud of numbing powder that paralyzes the target.,"One other Pokémon on the field, selected by the trainer.",TODO
79,1,Sleep Powder,Grass,50,75,,15,0,0,0,None,None,The user scatters a big cloud of sleep-inducing dust around the target.,The user scatters a big cloud of sleep-inducing dust around the target.,"One other Pokémon on the field, selected by the trainer.",TODO
80,1,Petal Dance,Grass,100,100,120,10,0,0,0,S. Attack,S. Defense,The user attacks the target by scattering petals for three turns. The user then becomes confused.,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.,"One opposing Pokémon, selected at random.",TODO
81,1,String Shot,Bug,100,95,,40,0,0,0,None,None,The opposing Pokémon are bound with silk blown from the user's mouth that lowers Movement Speed.,The opposing Pokémon are bound with silk blown from the user’s mouth that harshly lowers the Speed stat.,All opposing Pokémon.,TODO
82,1,Dragon Rage,Dragon,100,100,,10,0,0,0,S. Attack,S. Defense,This attack hits the target with a shock wave of pure rage. This attack inflicts damage equal to the amount of HP the user is missing.,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.,"One other Pokémon on the field, selected by the trainer.",TODO
83,1,Fire Spin,Fire,100,85,35,15,0,0,0,S. Attack,S. Defense,The target becomes trapped within a fierce vortex of fire that rages for three to five turns.,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.,"One other Pokémon on the field, selected by the trainer.",100
84,1,Thunder Shock,Electric,100,100,40,30,0,0,0,S. Attack,S. Defense,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.,"One other Pokémon on the field, selected by the trainer.",10
85,1,Thunderbolt,Electric,100,100,90,15,0,0,0,S. Attack,S. Defense,A strong electric blast crashes down on the target. This may also leave the target with paralysis.,A strong electric blast crashes down on the target. This may also leave the target with paralysis.,"One other Pokémon on the field, selected by the trainer.",10
86,1,Thunder Wave,Electric,100,90,,20,0,0,0,None,None,The user launches a weak jolt of electricity that paralyzes the target.,The user launches a weak jolt of electricity that paralyzes the target.,"One other Pokémon on the field, selected by the trainer.",TODO
87,1,Thunder,Electric,70,70,110,10,0,0,0,S. Attack,S. Defense,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis. It can't miss in the rain.,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.,"One other Pokémon on the field, selected by the trainer.",30
88,1,Rock Throw,Rock,85,90,50,15,0,0,0,Attack,Defense,The user picks up and throws a small rock at the target to attack.,The user picks up and throws a small rock at the target to attack.,"One other Pokémon on the field, selected by the trainer.",TODO
89,1,Earthquake,Ground,100,100,100,10,0,0,0,Attack,Defense,The user sets off an earthquake that strikes every Pokémon around it. It does double damage on digging foes.,The user sets off an earthquake that strikes every Pokémon around it.,Every other Pokémon on the field.,TODO
90,1,Fissure,Ground,50,30,,5,0,0,0,Attack,Defense,The user opens up a fissure in the ground and drops foes in. The target faints instantly if it hits. Fails if the target is a higher level.,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.,"One other Pokémon on the field, selected by the trainer.",TODO
91,1,Dig,Ground,100,100,80,10,0,1,0,Attack,Defense,"The user burrows, then attacks any time in the next 5 turns.",The user burrows then attacks on the next turn.,"One other Pokémon on the field, selected by the trainer.",TODO
92,1,Toxic,Poison,85,90,,10,0,0,0,None,None,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,A move that leaves the target badly poisoned. Its poison damage worsens every turn.,"One other Pokémon on the field, selected by the trainer.",TODO
93,1,Confusion,Psychic,100,100,50,25,0,0,0,S. Attack,S. Defense,The target is hit by a weak telekinetic force. This may also confuse the target.,The target is hit by a weak telekinetic force. This may also confuse the target.,"One other Pokémon on the field, selected by the trainer.",10
94,1,Psychic,Psychic,100,100,90,10,0,0,0,S. Attack,S. Defense,The target is hit by a strong telekinetic force. This has a 10% chance to lower the target's Sp. Def stat.,The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.,"One other Pokémon on the field, selected by the trainer.",10
95,1,Hypnosis,Psychic,50,60,,20,0,0,0,None,None,The user employs hypnotic suggestion to make the target fall into a deep sleep.,The user employs hypnotic suggestion to make the target fall into a deep sleep.,"One other Pokémon on the field, selected by the trainer.",TODO
96,1,Meditate,Psychic,-1,,,40,0,0,0,None,None,The user meditates to awaken the power deep within its body and raise its Attack stat.,The user meditates to awaken the power deep within its body and raise its Attack stat.,The user.,TODO
97,1,Agility,Psychic,-1,,,30,0,0,0,None,None,The user relaxes and lightens the body to raise Movement Speed.,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.,The user.,TODO
98,1,Quick Attack,Normal,100,100,40,30,1,0,0,Attack,Defense,The user lunges at the target at a speed that makes it almost invisible.,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.,"One other Pokémon on the field, selected by the trainer.",TODO
99,1,Rage,Normal,-1,100,20,20,0,0,0,Attack,Defense,"As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.",As long as this move is in use the power of rage raises the Attack stat each time the user is hit in battle.,"One other Pokémon on the field, selected by the trainer.",TODO
100,1,Teleport,Psychic,-1,,,20,-6,0,0,None,None,The user warps itself and nearby allies to a random location on the floor.,Use it to flee from any wild Pokémon.,The user.,TODO
101,1,Night Shade,Ghost,100,100,,15,0,0,0,S. Attack,S. Defense,The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.,"One other Pokémon on the field, selected by the trainer.",TODO
102,1,Mimic,Normal,-1,,,10,0,0,0,None,None,The user copies the target's last move. The move can be used during battle until the next floor is reached.,The user copies the target’s last move. The move can be used during battle until the Pokémon is switched out.,"One other Pokémon on the field, selected by the trainer.",TODO
103,1,Screech,Normal,85,85,,40,0,0,0,None,None,An earsplitting screech harshly lowers the target's Defense stat.,An earsplitting screech harshly lowers the target’s Defense stat.,"One other Pokémon on the field, selected by the trainer.",TODO
104,1,Double Team,Normal,-1,,,15,0,0,0,None,None,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.",By moving rapidly the user makes illusory copies of itself to raise its evasiveness.,The user.,TODO
105,1,Recover,Normal,-1,,,10,0,0,0,None,None,"Restoring its own cells, the user restores its own HP by half of its max HP.",Restoring its own cells the user restores its own HP by half of its max HP.,The user.,TODO
106,1,Harden,Normal,-1,,,30,0,0,0,None,None,The user stiffens all the muscles in its body to raise its Defense stat.,The user stiffens all the muscles in its body to raise its Defense stat.,The user.,TODO
107,1,Minimize,Normal,-1,,,10,0,0,0,None,None,"The user compresses its body to make itself look smaller, which sharply raises its evasiveness.",The user compresses its body to make itself look smaller which sharply raises its evasiveness.,The user.,TODO
108,1,Smokescreen,Normal,100,100,,20,0,0,0,None,None,The user releases an obscuring cloud of smoke or ink. This lowers the target's Accuracy.,The user releases an obscuring cloud of smoke or ink. This lowers the target’s accuracy.,"One other Pokémon on the field, selected by the trainer.",TODO
109,1,Confuse Ray,Ghost,100,100,,10,0,0,0,None,None,The target is exposed to a sinister ray that triggers confusion.,The target is exposed to a sinister ray that triggers confusion.,"One other Pokémon on the field, selected by the trainer.",TODO
110,1,Withdraw,Water,-1,,,40,0,0,0,None,None,"The user withdraws its body into its hard shell, raising its Defense stat.",The user withdraws its body into its hard shell raising its Defense stat.,The user.,TODO
111,1,Defense Curl,Normal,-1,,,40,0,0,0,None,None,The user curls up to conceal weak spots and raise its Defense stat.,The user curls up to conceal weak spots and raise its Defense stat.,The user.,TODO
112,1,Barrier,Psychic,-1,,,20,0,0,0,None,None,The user throws up a sturdy wall that sharply raises the party's Defense stat.,The user throws up a sturdy wall that sharply raises its Defense stat.,The user.,TODO
113,1,Light Screen,Psychic,-1,,,30,0,0,0,None,None,A wondrous wall of light is put up to reduce damage from special attacks for ten turns.,A wondrous wall of light is put up to reduce damage from special attacks for five turns.,The user's side of the field.  Affects the user and its ally (if any).,TODO
114,1,Haze,Ice,-1,,,30,0,0,0,None,None,The user creates a haze that eliminates every stat change for all Pokemon nearby.,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,The entire field.  Affects all Pokémon.,TODO
115,1,Reflect,Psychic,-1,,,20,0,0,0,None,None,A wondrous wall of light is put up to reduce damage from physical attacks for ten turns.,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.,The user's side of the field.  Affects the user and its ally (if any).,TODO
116,1,Focus Energy,Normal,-1,,,30,0,0,0,None,None,The user takes a deep breath and focuses so that critical hits land more easily.,The user takes a deep breath and focuses so that critical hits land more easily.,The user.,TODO
117,1,Bide,Normal,-1,,,10,1,2,0,Attack,Defense,"The user endures attacks for two turns, then strikes back to cause double the damage taken.",The user endures attacks for two turns then strikes back to cause double the damage taken.,The user.,TODO
118,1,Metronome,Normal,-1,,,10,0,0,0,None,None,The user waggles a finger and stimulates its brain into randomly using nearly any move.,The user waggles a finger and stimulates its brain into randomly using nearly any move.,The user.,TODO
119,1,Mirror Move,Flying,-1,,,20,0,0,0,None,None,The user counters the target by mimicking the last move used on it.,The user counters the target by mimicking the target’s last move.,"One other Pokémon on the field, selected by the trainer.",TODO
120,1,Self Destruct,Normal,100,100,200,5,0,0,0,Attack,Defense,The user attacks everything around it by causing an explosion. The user takes some damage too.,The user attacks everything around it by causing an explosion. The user faints upon using this move.,Every other Pokémon on the field.,TODO
121,1,Egg Bomb,Normal,75,75,100,10,0,0,0,Attack,Defense,A large egg is hurled at the target with maximum force to inflict damage.,A large egg is hurled at the target with maximum force to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
